method,corruption,repeat_index,seed,selection_rule,mse,mae,rmse,ntae,clea,crps,picp_90,mpiw_90,time_per_call_seconds
GFRC,missing_0.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.6163256569845776,0.9413868585174366,1.6175059990567509,1.1721293249824107,-3.4765142329325203,0.7414961559412321,0.5306652089815828,1.9022717946742578,0.19875556558176982
GFRC,missing_0.40,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.570454759326531,0.9297689076013735,1.6032637834512855,1.1519151274145638,-3.3125993173659354,0.7337594273019986,0.5316890225100216,1.8586353762977956,0.23185435106884356
GFRC,missing_0.60,3,20260513,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.5121494983644803,0.9147443100697185,1.584976182270409,1.1290836333759628,-3.110758457736676,0.7236202537874108,0.533163737280296,1.8079985306185642,0.2286864904299592
GFRC,noise_0.05,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.6543645128942672,0.9506375477201914,1.629222057576642,1.1877693634230138,-3.611319363915472,0.7480356573914838,0.5299940431138396,1.940235974827764,0.19916793608063277
GFRC,noise_0.10,2,20260512,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.6522979496037347,0.9503200578736359,1.628587716275588,1.1875566905170558,-3.610217469359799,0.747712675137432,0.5301557200123342,1.9415740428335668,0.23206866112300678
GFRC,noise_0.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.652144510659819,0.9502472054786245,1.6285406076176974,1.1875261756292927,-3.6084424887824005,0.7476260572256013,0.530304712247358,1.9402680627077913,0.19897402158193958
GFRC,scale_0.80,5,20260515,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.606312419573633,0.9362667028540315,1.6144077612467158,1.1619768369120334,-3.3731486197351437,0.7389312817049004,0.5316424887169569,1.8817306583742348,0.22890495871424035
GFRC,scale_1.20,3,20260513,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.6994016060448907,0.9637925758764961,1.6429855769436599,1.2079913702162846,-3.8223750615977585,0.7562869043296485,0.5283744008073332,1.993562084730856,0.22864358852146774
GFRC,wrong_cue,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.693832626136121,0.9611065845234462,1.6412899275070572,1.2174631510113998,-3.1432873622910065,0.7489947981739907,0.527534409777703,1.8272623830943981,0.23182815677523078
TimeXer,clean,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.0097675208462746,1.0233676179381745,1.7348681566177513,1.4447276360031749,-4.714279861748511,1.0233676160418135,7.008101365178146e-08,0.0,0.003233188728211067
TimeXer,missing_0.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.1073503094353976,0.9979447170114328,1.7627677979346563,1.4047245589912434,-3.7533470811187355,0.9979447166927662,1.4016202730356292e-07,0.0,0.0031046910581970085
TimeXer,missing_0.40,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.3059351443845624,1.011090064459799,1.8182230733286173,1.4205943429925405,-3.717795199403847,1.0110900670910719,7.008101365178146e-08,0.0,0.0031256019721962645
TimeXer,missing_0.60,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.488727502483203,1.0352667507062503,1.8678135620246479,1.4540335399865139,-3.8630343441062034,1.0352667522364922,0.0,0.0,0.003210122785514294
TimeXer,noise_0.05,2,20260512,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.0069501320900636,1.0228141442889893,1.73405597720779,1.4439324363767767,-4.711786168921643,1.0228141442495569,7.008101365178146e-08,0.0,0.003190661762176769
TimeXer,noise_0.10,2,20260512,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.0035826859043175,1.0221738938829734,1.7330847313112876,1.4430268577278755,-4.707452494265006,1.0221738946095977,1.4016202730356292e-07,0.0,0.0031858238318140577
TimeXer,noise_0.20,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.990952251871014,1.0192141180395615,1.7294369753971996,1.4387971500414252,-4.690785315126382,1.0192141167598152,0.0,0.0,0.003182761381149933
TimeXer,scale_0.80,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.19745896878232,1.0537268532397512,1.78814400113143,1.4891689233185974,-4.65219004343539,1.0537268549889427,0.0,0.0,0.0031806902031958316
TimeXer,scale_1.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.999037154876035,1.0045477390960325,1.7317728358176874,1.4158995843051445,-4.7580926249668565,1.0045477407080796,0.0,0.0,0.003346159929029083
TimeXer,wrong_cue,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,3.641240810383958,1.1557116184273917,1.9082035558042434,1.6347888332871396,-4.602992621456671,1.155711617122783,0.0,0.0,0.003137484251264496
